crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,save_data,save_roi,start_date,window_size,cv_folds,dev_size,save_results,shuffle_data,training_size,mlp_training,mlp_eval,svc_training,svc_eval
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.543046357616,0.514049586777,0.533112582781,0.485950413223
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.536817102138,0.554502369668,0.515439429929,0.509478672986
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.560570071259,0.462085308057,0.572446555819,0.462085308057
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.560669456067,0.531380753138,0.55230125523,0.52719665272
ETH,2019-05-04,True,False,BiffPredictorSmart,5,2,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.585774058577,0.497907949791,0.548117154812,0.52719665272
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.55298013245,0.546357615894,0.562913907285,0.511589403974
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.551324503311,0.491721854305,0.554635761589,0.531456953642
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.570071258907,0.508313539192,0.555819477435,0.503562945368
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.570071258907,0.465558194774,0.570071258907,0.465558194774
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.579831932773,0.52719665272,0.558823529412,0.531380753138
ETH,2019-05-04,True,True,BiffPredictor,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.584033613445,0.531380753138,0.558823529412,0.518828451883
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.554635761589,0.5,0.561258278146,0.488410596026
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.559602649007,0.473509933775,0.549668874172,0.506622516556
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.55106888361,0.524940617577,0.527315914489,0.489311163895
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.560570071259,0.444180522565,0.560570071259,0.444180522565
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.59243697479,0.548117154812,0.567226890756,0.514644351464
ETH,2019-05-04,True,True,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.558823529412,0.55230125523,0.550420168067,0.55230125523
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.55298013245,0.5,0.533112582781,0.509933774834
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.562913907285,0.509933774834,0.544701986755,0.490066225166
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.593824228029,0.503562945368,0.572446555819,0.532066508314
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.586698337292,0.465558194774,0.581947743468,0.465558194774
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.579831932773,0.443514644351,0.59243697479,0.489539748954
ETH,2019-05-04,True,False,BiffPredictor,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.609243697479,0.518828451883,0.558823529412,0.518828451883
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.564569536424,0.5,0.543046357616,0.509933774834
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.57119205298,0.473509933775,0.548013245033,0.473509933775
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.58432304038,0.541567695962,0.586698337292,0.513064133017
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.567695961995,0.444180522565,0.574821852732,0.444180522565
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.588235294118,0.52719665272,0.600840336134,0.52719665272
ETH,2019-05-04,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.600840336134,0.55230125523,0.563025210084,0.55230125523
ETH,2019-05-04,True,True,BiffPredictor,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.55223880597,0.511589403974,0.535655058043,0.511589403974
ETH,2019-05-04,True,True,BiffPredictor,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.577114427861,0.495033112583,0.580431177446,0.514900662252
ETH,2019-05-04,True,True,BiffPredictor,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,True,0.7,0.542857142857,0.560570071259,0.514285714286,0.503562945368
ETH,2019-05-04,True,True,BiffPredictor,5,4,1,1,100,Close,True,False,2017-01-01,10,4,0.5,True,False,0.7,0.57619047619,0.467933491686,0.57619047619,0.467933491686
ETH,2019-05-04,True,True,BiffPredictor,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,True,0.7,0.554621848739,0.508403361345,0.529411764706,0.474789915966
ETH,2019-05-04,True,True,BiffPredictor,5,4,1,1,100,Close,True,False,2018-01-01,10,4,0.5,True,False,0.7,0.546218487395,0.516806722689,0.546218487395,0.516806722689
ETH,2019-05-04,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,True,0.7,0.545605306799,0.508278145695,0.514096185738,0.514900662252
ETH,2019-05-04,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,False,2016-01-01,10,4,0.5,True,False,0.7,0.567164179104,0.48178807947,0.555555555556,0.495033112583
