crypto,end_date,normalize,normalize_by_row,predictor_cls,predictor_params.daily_allowance,predictor_params.lookahead_days,predictor_params.prob_buy,predictor_params.prob_sell,predictor_params.starting_investment,price_column,standardize,start_date,window_size,cv_folds,dev_size,shuffle_data,training_size,MLPClassifier_training,MLPClassifier_eval,SVC_training,SVC_eval
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.538461538462,0.561746987952,0.532428355958,0.441265060241
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.635416666667,0.536382536383,0.660416666667,0.638253638254
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.58125,0.480249480249,0.545833333333,0.444906444906
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.577181208054,0.520134228188,0.657718120805,0.714765100671
LTC,2019-09-30,True,False,BiffPredictor,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.654362416107,0.493288590604,0.627516778523,0.496644295302
LTC,2019-09-30,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.562594268477,0.561746987952,0.550527903469,0.621987951807
LTC,2019-09-30,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.565610859729,0.453313253012,0.555052790347,0.451807228916
LTC,2019-09-30,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.6,0.555093555094,0.597916666667,0.540540540541
LTC,2019-09-30,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.560416666667,0.453222453222,0.552083333333,0.444906444906
LTC,2019-09-30,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.58389261745,0.530201342282,0.620805369128,0.620805369128
LTC,2019-09-30,True,False,BiffPredictorSmart,5,3,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.624161073826,0.496644295302,0.604026845638,0.510067114094
LTC,2019-09-30,True,True,BiffPredictor,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.562594268477,0.549019607843,0.579185520362,0.613876319759
LTC,2019-09-30,True,True,BiffPredictor,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.559577677225,0.521870286576,0.544494720965,0.52790346908
LTC,2019-09-30,True,True,BiffPredictor,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.554166666667,0.55,0.585416666667,0.622916666667
LTC,2019-09-30,True,True,BiffPredictor,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.547916666667,0.441666666667,0.554166666667,0.44375
LTC,2019-09-30,True,True,BiffPredictor,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.609427609428,0.607382550336,0.626262626263,0.661073825503
LTC,2019-09-30,True,True,BiffPredictor,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,False,0.7,0.606060606061,0.503355704698,0.606060606061,0.503355704698
LTC,2019-09-30,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,True,0.7,0.564102564103,0.533936651584,0.579185520362,0.597285067873
LTC,2019-09-30,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,2016-01-01,40,4,0.5,False,0.7,0.561085972851,0.458521870287,0.556561085973,0.458521870287
LTC,2019-09-30,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,True,0.7,0.604166666667,0.55625,0.633333333333,0.597916666667
LTC,2019-09-30,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,2017-01-01,40,4,0.5,False,0.7,0.545833333333,0.45625,0.545833333333,0.45625
LTC,2019-09-30,True,True,BiffPredictorSmart,5,4,1,1,100,Close,True,2018-01-01,40,4,0.5,True,0.7,0.575757575758,0.53355704698,0.612794612795,0.624161073826
